PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,CreateTick,firstSchedTick,EndSchedtick,priority
20,11524,,20,4,400,7801,6,14,185,191,7986,80
,,,20,5,400,7771,36,14,185,221,7956,80
,,,20,6,400,7781,66,14,185,251,7966,80
,,,20,7,400,7790,95,14,186,281,7976,80
,,,20,8,400,7811,125,14,186,311,7997,80
,,,20,9,400,8220,154,2964,187,341,8407,2
,,,20,10,400,5840,154,3133,187,341,6027,2
,,,20,11,400,10670,154,5787,187,341,10857,2
,,,20,12,400,5842,153,2982,188,341,6030,2
,,,20,13,400,5616,154,2790,188,342,5804,2
,,,20,14,400,5807,154,2795,188,342,5995,2
,,,20,15,400,5673,154,2650,188,342,5861,2
,,,20,16,400,5701,154,2144,189,343,5890,2
,,,20,17,400,8065,154,1697,189,343,8254,2
,,,20,18,400,5897,153,1742,190,343,6087,2
,,,20,19,400,11517,154,5859,190,344,11707,2
,,,20,20,400,7963,154,2135,190,344,8153,2
,,,20,21,400,7860,153,2254,191,344,8051,2
,,,20,22,400,9662,154,3443,191,345,9853,2
,,,20,23,400,8033,154,1794,191,345,8224,2
