PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,CreateTick,firstSchedTick,EndSchedtick,priority
3,241,,3,4,40,101,1,2,365,366,466,0
4,401,,3,5,80,150,30,3,366,396,516,4
5,602,,3,6,120,240,60,4,366,426,606,8
6,842,,4,7,40,131,1,2,608,609,739,0
7,1122,,4,8,80,181,31,3,608,639,789,4
8,1443,,4,9,120,331,61,4,608,669,939,8
9,1803,,4,10,160,400,90,6,609,699,1009,12
10,2203,,5,11,40,162,2,2,1011,1013,1173,0
11,2644,,5,12,80,212,32,3,1011,1043,1223,4
12,3124,,5,13,120,302,62,4,1011,1073,1313,8
13,3646,,5,14,160,551,91,6,1012,1103,1563,12
14,4207,,5,15,200,601,121,7,1012,1133,1613,16
15,4805,,6,16,40,192,2,2,1615,1617,1807,0
16,5446,,6,17,80,242,32,3,1615,1647,1857,4
17,6127,,6,18,120,392,62,4,1615,1677,2007,8
18,6846,,6,19,160,611,91,6,1616,1707,2227,12
19,7607,,6,20,200,751,121,7,1616,1737,2367,16
,,,6,21,240,841,151,8,1616,1767,2457,20
,,,7,22,40,222,2,2,2459,2461,2681,0
,,,7,23,80,272,32,3,2459,2491,2731,4
,,,7,24,120,361,61,4,2460,2521,2821,8
,,,7,25,160,581,91,6,2460,2551,3041,12
,,,7,26,200,781,121,7,2460,2581,3241,16
,,,7,27,240,991,151,8,2460,2611,3451,20
,,,7,28,280,1120,180,10,2461,2641,3581,24
,,,8,29,40,253,3,2,3583,3586,3836,0
,,,8,30,80,303,33,3,3583,3616,3886,4
,,,8,31,120,393,63,4,3583,3646,3976,8
,,,8,32,160,732,92,6,3584,3676,4316,12
,,,8,33,200,902,122,7,3584,3706,4486,16
,,,8,34,240,1112,152,8,3584,3736,4696,20
,,,8,35,280,1361,181,10,3585,3766,4946,24
,,,8,36,320,1441,211,11,3585,3796,5026,28
,,,9,37,40,283,3,2,5028,5031,5311,0
,,,9,38,80,333,33,3,5028,5061,5361,4
,,,9,39,120,423,63,4,5028,5091,5451,8
,,,9,40,160,702,92,6,5029,5121,5731,12
,,,9,41,200,902,122,7,5029,5151,5931,16
,,,9,42,240,1172,152,8,5029,5181,6201,20
,,,9,43,280,1541,181,10,5030,5211,6571,24
,,,9,44,320,1711,211,11,5030,5241,6741,28
,,,9,45,360,1800,240,12,5031,5271,6831,32
,,,10,46,40,313,3,2,6833,6836,7146,0
,,,10,47,80,363,33,3,6833,6866,7196,4
,,,10,48,120,512,62,4,6834,6896,7346,8
,,,10,49,160,732,92,6,6834,6926,7566,12
,,,10,50,200,992,122,7,6834,6956,7826,16
,,,10,51,240,1231,151,8,6835,6986,8066,20
,,,10,52,280,1811,181,10,6835,7016,8646,24
,,,10,53,320,1861,211,11,6835,7046,8696,28
,,,10,54,360,2130,240,12,6836,7076,8966,32
,,,10,55,400,2200,270,14,6836,7106,9036,36
,,,11,56,40,344,4,2,9038,9042,9382,0
,,,11,57,80,394,34,3,9038,9072,9432,4
,,,11,58,120,483,63,4,9039,9102,9522,8
,,,11,59,160,763,93,6,9039,9132,9802,12
,,,11,60,200,1082,122,7,9040,9162,10122,16
,,,11,61,240,1382,152,8,9040,9192,10422,20
,,,11,62,280,1782,182,10,9040,9222,10822,24
,,,11,63,320,2072,212,11,9040,9252,11112,28
,,,11,64,360,2311,241,12,9041,9282,11352,32
,,,11,65,400,2561,271,14,9041,9312,11602,36
,,,11,66,440,2641,301,15,9041,9342,11682,40
,,,12,67,40,374,4,2,11684,11688,12058,0
,,,12,68,80,424,34,3,11684,11718,12108,4
,,,12,69,120,514,64,4,11684,11748,12198,8
,,,12,70,160,853,93,6,11685,11778,12538,12
,,,12,71,200,1023,123,7,11685,11808,12708,16
,,,12,72,240,1382,152,8,11686,11838,13068,20
,,,12,73,280,1932,182,10,11686,11868,13618,24
,,,12,74,320,2162,212,11,11686,11898,13848,28
,,,12,75,360,2491,241,12,11687,11928,14178,32
,,,12,76,400,2831,271,14,11687,11958,14518,36
,,,12,77,440,3001,301,15,11687,11988,14688,40
,,,12,78,480,3121,331,16,11687,12018,14808,44
,,,13,79,40,405,5,2,14810,14815,15215,0
,,,13,80,80,454,34,3,14811,14845,15265,4
,,,13,81,120,544,64,4,14811,14875,15355,8
,,,13,82,160,764,94,6,14811,14905,15575,12
,,,13,83,200,964,123,7,14812,14935,15776,16
,,,13,84,240,1324,153,8,14812,14965,16136,20
,,,13,85,280,1783,182,10,14813,14995,16596,24
,,,13,86,320,2343,212,11,14813,15025,17156,28
,,,13,87,360,2733,242,12,14813,15055,17546,32
,,,13,88,400,3192,271,14,14814,15085,18006,36
,,,13,89,440,3452,301,15,14814,15115,18266,40
,,,13,90,480,3512,331,16,14814,15145,18326,44
,,,13,91,520,3641,360,18,14815,15175,18456,48
,,,14,92,40,286,4,2,18458,18462,18744,0
,,,14,93,80,486,34,3,18458,18492,18944,4
,,,14,94,120,576,63,4,18459,18522,19035,8
,,,14,95,160,946,93,6,18459,18552,19405,12
,,,14,96,200,1055,122,7,18460,18582,19515,16
,,,14,97,240,1565,152,8,18460,18612,20025,20
,,,14,98,280,2055,182,10,18460,18642,20515,24
,,,14,99,320,2584,211,11,18461,18672,21045,28
,,,14,100,360,2944,241,12,18461,18702,21405,32
,,,14,101,400,3374,283,14,18461,18744,21835,36
,,,14,102,440,3453,42,15,18732,18774,22185,40
,,,14,103,480,3633,72,16,18732,18804,22365,44
,,,14,104,520,3852,101,18,18733,18834,22585,48
,,,14,105,560,3932,131,19,18733,18864,22665,52
,,,15,106,40,465,5,2,22667,22672,23132,0
,,,15,107,80,515,35,3,22667,22702,23182,4
,,,15,108,120,604,64,4,22668,22732,23272,8
,,,15,109,160,884,94,6,22668,22762,23552,12
,,,15,110,200,1084,124,7,22668,22792,23752,16
,,,15,111,240,1353,153,8,22669,22822,24022,20
,,,15,112,280,1813,183,10,22669,22852,24482,24
,,,15,113,320,2282,212,11,22670,22882,24952,28
,,,15,114,360,2822,242,12,22670,22912,25492,32
,,,15,115,400,3702,272,14,22670,22942,26372,36
,,,15,116,440,3931,301,15,22671,22972,26602,40
,,,15,117,480,4201,331,16,22671,23002,26872,44
,,,15,118,520,4541,361,18,22671,23032,27212,48
,,,15,119,560,4710,390,19,22672,23062,27382,52
,,,15,120,600,4800,420,20,22672,23092,27472,56
,,,16,121,40,496,6,2,27474,27480,27970,0
,,,16,122,80,546,36,3,27474,27510,28020,4
,,,16,123,120,695,65,4,27475,27540,28170,8
,,,16,124,160,915,95,6,27475,27570,28390,12
,,,16,125,200,1175,125,7,27475,27600,28650,16
,,,16,126,240,1414,154,8,27476,27630,28890,20
,,,16,127,280,2084,184,10,27476,27660,29560,24
,,,16,128,320,2284,214,11,27476,27690,29760,28
,,,16,129,360,3153,243,12,27477,27720,30630,32
,,,16,130,400,3793,273,14,27477,27750,31270,36
,,,16,131,440,3962,302,15,27478,27780,31440,40
,,,16,132,480,4412,332,16,27478,27810,31890,44
,,,16,133,520,4932,362,18,27478,27840,32410,48
,,,16,134,560,5191,391,19,27479,27870,32670,52
,,,16,135,600,5311,421,20,27479,27900,32790,56
,,,16,136,640,5441,451,22,27479,27930,32920,60
,,,17,137,40,526,6,2,32922,32928,33448,0
,,,17,138,80,576,36,3,32922,32958,33498,4
,,,17,139,120,665,65,4,32923,32988,33588,8
,,,17,140,160,945,95,6,32923,33018,33868,12
,,,17,141,200,1146,125,7,32923,33048,34069,16
,,,17,142,240,1415,154,8,32924,33078,34339,20
,,,17,143,280,1875,184,10,32924,33108,34799,24
,,,17,144,320,2344,213,11,32925,33138,35269,28
,,,17,145,360,2884,243,12,32925,33168,35809,32
,,,17,146,400,3884,273,14,32925,33198,36809,36
,,,17,147,440,4233,302,15,32926,33228,37159,40
,,,17,148,480,4803,332,16,32926,33258,37729,44
,,,17,149,520,5232,361,18,32927,33288,38159,48
,,,17,150,560,5702,391,19,32927,33318,38629,52
,,,17,151,600,5852,421,20,32927,33348,38779,56
,,,17,152,640,6071,450,22,32928,33378,38999,60
,,,17,153,680,6121,480,23,32928,33408,39049,64
,,,18,154,40,556,1,2,39051,39052,39607,0
,,,18,155,80,606,36,3,39051,39087,39657,4
,,,18,156,120,725,35,4,39082,39117,39807,8
,,,18,157,160,945,65,6,39082,39147,40027,12
,,,18,158,200,1205,95,7,39082,39177,40287,16
,,,18,159,240,1444,124,8,39083,39207,40527,20
,,,18,160,280,2114,154,10,39083,39237,41197,24
,,,18,161,320,2314,184,11,39083,39267,41397,28
,,,18,162,360,3183,213,12,39084,39297,42267,32
,,,18,163,400,3823,243,14,39084,39327,42907,36
,,,18,164,440,4053,273,15,39084,39357,43137,40
,,,18,165,480,4592,302,16,39085,39387,43677,44
,,,18,166,520,5322,332,18,39085,39417,44407,48
,,,18,167,560,6001,361,19,39086,39447,45087,52
,,,18,168,600,6211,391,20,39086,39477,45297,56
,,,18,169,640,6611,421,22,39086,39507,45697,60
,,,18,170,680,6690,450,23,39087,39537,45777,64
,,,18,171,720,6810,480,24,39087,39567,45897,68
,,,19,172,40,587,7,2,45899,45906,46486,0
,,,19,173,80,637,37,3,45899,45936,46536,4
,,,19,174,120,726,66,4,45900,45966,46626,8
,,,19,175,160,1036,96,6,45900,45996,46936,12
,,,19,176,200,1206,126,7,45900,46026,47106,16
,,,19,177,240,1475,155,8,45901,46056,47376,20
,,,19,178,280,2175,185,10,45901,46086,48076,24
,,,19,179,320,2405,215,11,45901,46116,48306,28
,,,19,180,360,3064,244,12,45902,46146,48966,32
,,,19,181,400,3704,274,14,45902,46176,49606,36
,,,19,182,440,4684,304,15,45902,46206,50586,40
,,,19,183,480,5193,333,16,45903,46236,51096,44
,,,19,184,520,5863,363,18,45903,46266,51766,48
,,,19,185,560,6273,393,19,45903,46296,52176,52
,,,19,186,600,6572,422,20,45904,46326,52476,56
,,,19,187,640,7212,452,22,45904,46356,53116,60
,,,19,188,680,7351,481,23,45905,46386,53256,64
,,,19,189,720,7411,511,24,45905,46416,53316,68
,,,19,190,760,7601,541,26,45905,46446,53506,72
