PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
,,,16,131,440,4330,304,15,27454,27758,31784
,,,16,132,480,4540,334,16,27454,27788,31994
,,,16,133,520,4849,363,18,27455,27818,32304
,,,16,134,560,5200,392,19,27456,27848,32656
,,,16,135,600,5350,422,20,27456,27878,32806
,,,16,136,640,5448,450,22,27458,27908,32906
,,,17,137,40,533,13,2,32911,32924,33444
,,,17,138,80,583,43,3,32911,32954,33494
,,,17,139,120,672,72,4,32912,32984,33584
,,,17,140,160,982,102,6,32912,33014,33894
,,,17,141,200,1151,131,7,32913,33044,34064
,,,17,142,240,1420,160,8,32914,33074,34334
,,,17,143,280,2120,190,10,32914,33104,35034
,,,17,144,320,2348,218,11,32916,33134,35264
,,,17,145,360,3008,248,12,32916,33164,35924
,,,17,146,400,3647,277,14,32917,33194,36564
,,,17,147,440,4326,306,15,32918,33224,37244
,,,17,148,480,4835,335,16,32919,33254,37754
,,,17,149,520,5414,364,18,32920,33284,38334
,,,17,150,560,5733,393,19,32921,33314,38654
,,,17,151,600,5713,423,20,32921,33344,38634
,,,17,152,640,6013,453,22,32921,33374,38934
,,,17,153,680,6121,481,23,32923,33404,39044
,,,18,154,40,556,6,2,39046,39052,39602
,,,18,155,80,607,36,3,39046,39082,39653
,,,18,156,120,758,66,4,39046,39112,39804
,,,18,157,160,948,95,6,39047,39142,39995
,,,18,158,200,1298,125,7,39047,39172,40345
,,,18,159,240,1598,155,8,39047,39202,40645
,,,18,160,280,2087,184,10,39048,39232,41135
,,,18,161,320,2347,214,11,39048,39262,41395
,,,18,162,360,3066,243,12,39049,39292,42115
,,,18,163,400,4036,273,14,39049,39322,43085
,,,18,164,440,4566,303,15,39049,39352,43615
,,,18,165,480,5045,332,16,39050,39382,44095
,,,18,166,520,5715,362,18,39050,39412,44765
,,,18,167,560,5976,392,19,39050,39442,45026
,,,18,168,600,6365,421,20,39051,39472,45416
,,,18,169,640,6615,451,22,39051,39502,45666
,,,18,170,680,6784,480,23,39052,39532,45836
,,,18,171,720,6844,510,24,39052,39562,45896
,,,19,172,40,587,6,2,45898,45904,46485
,,,19,173,80,637,36,3,45898,45934,46535
,,,19,174,120,726,65,4,45899,45964,46625
,,,19,175,160,1037,95,6,45899,45994,46936
,,,19,176,200,1237,125,7,45899,46024,47136
,,,19,177,240,1656,154,8,45900,46054,47556
,,,19,178,280,2326,184,10,45900,46084,48226
,,,19,179,320,2676,214,11,45900,46114,48576
,,,19,180,360,3335,243,12,45901,46144,49236
,,,19,181,400,3645,273,14,45901,46174,49546
,,,19,182,440,4685,303,15,45901,46204,50586
,,,19,183,480,5134,332,16,45902,46234,51036
,,,19,184,520,6104,362,18,45902,46264,52006
,,,19,185,560,6454,392,19,45902,46294,52356
,,,19,186,600,6753,421,20,45903,46324,52656
,,,19,187,640,7123,452,22,45903,46355,53026
,,,19,188,680,6962,31,23,46354,46385,53316
,,,19,189,720,7022,61,24,46354,46415,53376
,,,19,190,760,7151,90,26,46355,46445,53506
