PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
,,,16,130,400,4583,11,401,27475,27486,32058
,,,16,131,440,4829,23,441,27475,27498,32304
,,,16,132,480,5019,13,481,27486,27499,32505
,,,16,133,520,5184,27,521,27486,27513,32670
,,,16,134,560,5291,15,561,27499,27514,32790
,,,16,135,600,5373,30,601,27499,27529,32872
,,,16,136,640,5398,16,641,27514,27530,32912
,,,17,137,40,629,3,41,32914,32917,33543
,,,17,138,80,1269,3,81,32915,32918,34184
,,,17,139,120,1884,7,121,32915,32922,34799
,,,17,140,160,2442,5,161,32918,32923,35360
,,,17,141,200,2963,6,201,32918,32924,35881
,,,17,142,240,3455,13,241,32918,32931,36373
,,,17,143,280,3900,15,281,32924,32939,36824
,,,17,144,320,4293,9,321,32931,32940,37224
,,,17,145,360,4664,19,361,32931,32950,37595
,,,17,146,400,4976,11,401,32940,32951,37916
,,,17,147,440,5264,23,441,32940,32963,38204
,,,17,148,480,5493,13,481,32951,32964,38444
,,,17,149,520,5694,14,521,32951,32965,38645
,,,17,150,560,5859,29,561,32951,32980,38810
,,,17,151,600,5966,16,601,32965,32981,38931
,,,17,152,640,6047,17,641,32965,32982,39012
,,,17,153,680,6088,34,681,32965,32999,39053
,,,18,154,40,659,3,41,39055,39058,39714
,,,18,155,80,1338,3,81,39056,39059,40394
,,,18,156,120,1978,4,121,39056,39060,41034
,,,18,157,160,2594,10,161,39056,39066,41650
,,,18,158,200,3164,11,201,39061,39072,42225
,,,18,159,240,3679,7,241,39066,39073,42745
,,,18,160,280,4172,15,281,39066,39081,43238
,,,18,161,320,4605,9,321,39073,39082,43678
,,,18,162,360,5016,19,361,39073,39092,44089
,,,18,163,400,5367,11,401,39082,39093,44449
,,,18,164,440,5695,23,441,39082,39105,44777
,,,18,165,480,5971,25,481,39093,39118,45064
,,,18,166,520,6202,14,521,39105,39119,45307
,,,18,167,560,6404,15,561,39105,39120,45509
,,,18,168,600,6569,31,601,39105,39136,45674
,,,18,169,640,6675,17,641,39120,39137,45795
,,,18,170,680,6758,34,681,39120,39154,45878
,,,18,171,720,6781,18,721,39137,39155,45918
,,,19,172,40,695,2,41,45920,45922,46615
,,,19,173,80,1433,5,81,45920,45925,47353
,,,19,174,120,2113,4,121,45922,45926,48035
,,,19,175,160,2769,9,161,45922,45931,48691
,,,19,176,200,3366,6,201,45926,45932,49292
,,,19,177,240,3927,7,241,45926,45933,49853
,,,19,178,280,4463,15,281,45926,45941,50389
,,,19,179,320,4936,9,321,45933,45942,50869
,,,19,180,360,5380,10,361,45933,45943,51313
,,,19,181,400,5792,21,401,45933,45954,51725
,,,19,182,440,6143,12,441,45943,45955,52086
,,,19,183,480,6463,13,481,45943,45956,52406
,,,19,184,520,6753,27,521,45943,45970,52696
,,,19,185,560,6980,15,561,45956,45971,52936
,,,19,186,600,7186,31,601,45956,45987,53142
,,,19,187,640,7331,17,641,45971,45988,53302
,,,19,188,680,7457,34,681,45971,46005,53428
,,,19,189,720,7522,18,721,45988,46006,53510
