PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
,,,16,130,400,3643,273,14,27524,27797,31167
,,,16,131,440,3992,302,15,27525,27827,31517
,,,16,132,480,4472,332,16,27525,27857,31997
,,,16,133,520,4931,361,18,27526,27887,32457
,,,16,134,560,5161,391,19,27526,27917,32687
,,,16,135,600,5311,421,20,27526,27947,32837
,,,16,136,640,5441,451,22,27526,27977,32967
,,,17,137,40,527,7,2,32969,32976,33496
,,,17,138,80,577,37,3,32969,33006,33546
,,,17,139,120,667,67,4,32969,33036,33636
,,,17,140,160,946,96,6,32970,33066,33916
,,,17,141,200,1266,126,7,32970,33096,34236
,,,17,142,240,1536,156,8,32970,33126,34506
,,,17,143,280,2085,185,10,32971,33156,35056
,,,17,144,320,2405,215,11,32971,33186,35376
,,,17,145,360,2944,244,12,32972,33216,35916
,,,17,146,400,3944,274,14,32972,33246,36916
,,,17,147,440,4143,303,15,32973,33276,37116
,,,17,148,480,4833,333,16,32973,33306,37806
,,,17,149,520,5113,363,18,32973,33336,38086
,,,17,150,560,5612,392,19,32974,33366,38586
,,,17,151,600,5851,421,20,32975,33396,38826
,,,17,152,640,6121,451,22,32975,33426,39096
,,,17,153,680,6110,480,23,32976,33456,39086
,,,18,154,40,556,6,2,39098,39104,39654
,,,18,155,80,606,36,3,39098,39134,39704
,,,18,156,120,696,66,4,39098,39164,39794
,,,18,157,160,1035,95,6,39099,39194,40134
,,,18,158,200,1235,125,7,39099,39224,40334
,,,18,159,240,1565,155,8,39099,39254,40664
,,,18,160,280,2084,184,10,39100,39284,41184
,,,18,161,320,2524,214,11,39100,39314,41624
,,,18,162,360,3124,244,12,39100,39344,42224
,,,18,163,400,3703,273,14,39101,39374,42804
,,,18,164,440,4263,303,15,39101,39404,43364
,,,18,165,480,4833,333,16,39101,39434,43934
,,,18,166,520,5472,362,18,39102,39464,44574
,,,18,167,560,5882,392,19,39102,39494,44984
,,,18,168,600,6332,422,20,39102,39524,45434
,,,18,169,640,6551,451,22,39103,39554,45654
,,,18,170,680,6781,481,23,39103,39584,45884
,,,18,171,720,6841,511,24,39103,39614,45944
,,,19,172,40,586,6,2,45946,45952,46532
,,,19,173,80,635,35,3,45947,45982,46582
,,,19,174,120,725,65,4,45947,46012,46672
,,,19,175,160,945,95,6,45947,46042,46892
,,,19,176,200,1144,124,7,45948,46072,47092
,,,19,177,240,1474,154,8,45948,46102,47422
,,,19,178,280,2174,184,10,45948,46132,48122
,,,19,179,320,2434,214,11,45948,46162,48382
,,,19,180,360,3033,243,12,45949,46192,48982
,,,19,181,400,3793,273,14,45949,46222,49742
,,,19,182,440,4652,302,15,45950,46252,50602
,,,19,183,480,4832,332,16,45950,46282,50782
,,,19,184,520,5952,362,18,45950,46312,51902
,,,19,185,560,6182,392,19,45950,46342,52132
,,,19,186,600,6511,421,20,45951,46372,52462
,,,19,187,640,7151,451,22,45951,46402,53102
,,,19,188,680,7381,481,23,45951,46432,53332
,,,19,189,720,7560,510,24,45952,46462,53512
,,,19,190,760,7600,540,26,45952,46492,53552
