3, 153 
4, 154 
5, 216 
6, 261 
7, 314 
8, 358 
9, 409 
10, 468 
11, 523 
12, 565 
13, 620 
14, 675 
15, 735 
16, 788 
17, 835 
18, 888 
19, 942 
