PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,CreateTick,firstSchedTick,EndSchedtick,priority
,,,10,52,280,1958,15,281,6863,6878,8821,24
,,,10,53,320,2071,9,321,6870,6879,8941,28
,,,10,54,360,2151,10,361,6870,6880,9021,32
,,,10,55,400,2192,20,401,6870,6890,9062,36
,,,11,56,40,425,2,41,9065,9067,9490,0
,,,11,57,80,826,3,81,9065,9068,9891,4
,,,11,58,120,1195,7,121,9065,9072,10260,8
,,,11,59,160,1512,5,161,9068,9073,10580,12
,,,11,60,200,1792,6,201,9068,9074,10860,16
,,,11,61,240,2038,13,241,9068,9081,11106,20
,,,11,62,280,2232,8,281,9074,9082,11306,24
,,,11,63,320,2392,9,321,9074,9083,11466,28
,,,11,64,360,2516,18,361,9074,9092,11590,32
,,,11,65,400,2587,10,401,9083,9093,11670,36
,,,11,66,440,2627,11,441,9083,9094,11710,40
,,,12,67,40,457,2,41,11712,11714,12169,0
,,,12,68,80,908,5,81,11712,11717,12620,4
,,,12,69,120,1306,4,121,11714,11718,13020,8
,,,12,70,160,1667,5,161,11714,11719,13381,12
,,,12,71,200,1995,11,201,11714,11725,13709,16
,,,12,72,240,2270,7,241,11719,11726,13989,20
,,,12,73,280,2510,8,281,11719,11727,14229,24
,,,12,74,320,2716,17,321,11719,11736,14435,28
,,,12,75,360,2868,10,361,11727,11737,14595,32
,,,12,76,400,2993,20,401,11727,11747,14720,36
,,,12,77,440,3063,11,441,11737,11748,14800,40
,,,12,78,480,3103,12,481,11737,11749,14840,44
,,,13,79,40,492,2,41,14842,14844,15334,0
,,,13,80,80,984,5,81,14842,14847,15826,4
,,,13,81,120,1423,4,121,14844,14848,16267,8
,,,13,82,160,1824,5,161,14844,14849,16668,12
,,,13,83,200,2194,11,201,14844,14855,17038,16
,,,13,84,240,2510,7,241,14849,14856,17359,20
,,,13,85,280,2797,15,281,14849,14864,17646,24
,,,13,86,320,3031,9,321,14856,14865,17887,28
,,,13,87,360,3231,10,361,14856,14866,18087,32
,,,13,88,400,3395,21,401,14856,14877,18251,36
,,,13,89,440,3507,12,441,14866,14878,18373,40
,,,13,90,480,3588,13,481,14866,14879,18454,44
,,,13,91,520,3629,26,521,14866,14892,18495,48
,,,14,92,40,535,3,41,18497,18500,19032,0
,,,14,93,80,1054,3,81,18498,18501,19552,4
,,,14,94,120,1546,7,121,18498,18505,20044,8
,,,14,95,160,1984,5,161,18501,18506,20485,12
,,,14,96,200,2384,6,201,18501,18507,20885,16
,,,14,97,240,2753,13,241,18501,18514,21254,20
,,,14,98,280,3067,8,281,18507,18515,21574,24
,,,14,99,320,3348,9,321,18507,18516,21855,28
,,,14,100,360,3595,19,361,18507,18526,22102,32
,,,14,101,400,3786,11,401,18516,18527,22302,36
,,,14,102,440,3946,12,441,18516,18528,22462,40
,,,14,103,480,4069,24,481,18516,18540,22585,44
,,,14,104,520,4138,13,521,18528,18541,22666,48
,,,14,105,560,4178,14,561,18528,18542,22706,52
,,,15,106,40,563,2,41,22709,22711,23272,0
,,,15,107,80,1138,5,81,22709,22714,23847,4
,,,15,108,120,1656,4,121,22711,22715,24367,8
,,,15,109,160,2148,9,161,22711,22720,24859,12
,,,15,110,200,2584,6,201,22715,22721,25299,16
,,,15,111,240,2984,7,241,22715,22722,25699,20
,,,15,112,280,3353,15,281,22715,22730,26068,24
,,,15,113,320,3666,9,321,22722,22731,26388,28
,,,15,114,360,3946,10,361,22722,22732,26668,32
,,,15,115,400,4192,21,401,22722,22743,26914,36
,,,15,116,440,4383,12,441,22732,22744,27115,40
,,,15,117,480,4547,13,481,22732,22745,27279,44
,,,15,118,520,4670,27,521,22732,22759,27402,48
,,,15,119,560,4737,15,561,22745,22760,27482,52
,,,15,120,600,4779,30,601,22745,22775,27524,56
,,,16,121,40,609,3,41,27526,27529,28135,0
,,,16,122,80,1208,3,81,27527,27530,28735,4
,,,16,123,120,1768,4,121,27527,27531,29295,8
,,,16,124,160,2301,9,161,27527,27536,29828,12
,,,16,125,200,2777,6,201,27531,27537,30308,16
,,,16,126,240,3217,7,241,27531,27538,30748,20
,,,16,127,280,3627,15,281,27531,27546,31158,24
,,,16,128,320,3980,9,321,27538,27547,31518,28
,,,16,129,360,4300,10,361,27538,27548,31838,32
,,,16,130,400,4588,21,401,27538,27559,32126,36
,,,16,131,440,4818,12,441,27548,27560,32366,40
,,,16,132,480,5023,25,481,27548,27573,32571,44
,,,16,133,520,5171,14,521,27560,27574,32731,48
,,,16,134,560,5292,15,561,27560,27575,32852,52
,,,16,135,600,5374,30,601,27560,27590,32934,56
,,,16,136,640,5399,16,641,27575,27591,32974,60
,,,17,137,40,607,2,41,32976,32978,33583,0
,,,17,138,80,1262,3,81,32978,32981,34240,4
,,,17,139,120,1877,7,121,32978,32985,34855,8
,,,17,140,160,2448,9,161,32981,32990,35429,12
,,,17,141,200,2964,6,201,32985,32991,35949,16
,,,17,142,240,3456,13,241,32985,32998,36441,20
,,,17,143,280,3890,8,281,32991,32999,36881,24
,,,17,144,320,4290,9,321,32991,33000,37281,28
,,,17,145,360,4659,19,361,32991,33010,37650,32
,,,17,146,400,4971,11,401,33000,33011,37971,36
,,,17,147,440,5258,23,441,33000,33023,38258,40
,,,17,148,480,5487,13,481,33011,33024,38498,44
,,,17,149,520,5687,14,521,33011,33025,38698,48
,,,17,150,560,5855,43,561,33011,33054,38866,52
,,,17,151,600,5948,16,601,33039,33055,38987,56
,,,17,152,640,6029,17,641,33039,33056,39068,60
,,,17,153,680,6071,34,681,33039,33073,39110,64
,,,18,154,40,667,2,41,39112,39114,39779,0
,,,18,155,80,1364,5,81,39112,39117,40476,4
,,,18,156,120,2002,4,121,39114,39118,41116,8
,,,18,157,160,2602,5,161,39114,39119,41716,12
,,,18,158,200,3176,11,201,39114,39125,42290,16
,,,18,159,240,3692,7,241,39119,39126,42811,20
,,,18,160,280,4172,8,281,39119,39127,43291,24
,,,18,161,320,4623,17,321,39119,39136,43742,28
,,,18,162,360,5015,10,361,39127,39137,44142,32
,,,18,163,400,5375,11,401,39127,39138,44502,36
,,,18,164,440,5703,23,441,39127,39150,44830,40
,,,18,165,480,5972,13,481,39138,39151,45110,44
,,,18,166,520,6219,27,521,39138,39165,45357,48
,,,18,167,560,6406,15,561,39151,39166,45557,52
,,,18,168,600,6566,16,601,39151,39167,45717,56
,,,18,169,640,6689,32,641,39151,39183,45840,60
,,,18,170,680,6753,17,681,39167,39184,45920,64
,,,18,171,720,6794,18,721,39167,39185,45961,68
,,,19,172,40,699,2,41,45963,45965,46662,0
,,,19,173,80,1438,5,81,45963,45968,47401,4
,,,19,174,120,2117,4,121,45965,45969,48082,8
,,,19,175,160,2757,5,161,45965,45970,48722,12
,,,19,176,200,3372,11,201,45965,45976,49337,16
,,,19,177,240,3927,7,241,45970,45977,49897,20
,,,19,178,280,4448,8,281,45970,45978,50418,24
,,,19,179,320,4940,17,321,45970,45987,50910,28
,,,19,180,360,5372,10,361,45978,45988,51350,32
,,,19,181,400,5773,11,401,45978,45989,51751,36
,,,19,182,440,6142,23,441,45978,46001,52120,40
,,,19,183,480,6452,13,481,45989,46002,52441,44
,,,19,184,520,6739,27,521,45989,46016,52728,48
,,,19,185,560,6967,15,561,46002,46017,52969,52
,,,19,186,600,7173,31,601,46002,46033,53175,56
,,,19,187,640,7318,17,641,46017,46034,53335,60
,,,19,188,680,7439,18,681,46017,46035,53456,64
,,,19,189,720,7521,37,721,46017,46054,53538,68
