PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,CreateTick,firstSchedTick,EndSchedtick,priority
3,241,,3,4,40,120,2,41,387,389,507,0
4,401,,3,5,80,200,3,81,387,390,587,4
5,603,,3,6,120,241,6,121,387,393,628,8
6,842,,4,7,40,158,2,41,630,632,788,0
7,1123,,4,8,80,281,4,81,630,634,911,4
8,1444,,4,9,120,359,3,121,632,635,991,8
9,1803,,4,10,160,399,4,161,632,636,1031,12
10,2204,,5,11,40,196,2,41,1033,1035,1229,0
11,2645,,5,12,80,360,5,81,1033,1038,1393,4
12,3128,,5,13,120,478,4,121,1035,1039,1513,8
13,3653,,5,14,160,560,8,161,1035,1043,1595,12
14,4210,,5,15,200,597,5,201,1039,1044,1636,16
15,4815,,6,16,40,234,2,41,1638,1640,1872,0
16,5448,,6,17,80,439,5,81,1638,1643,2077,4
17,6134,,6,18,120,597,4,121,1640,1644,2237,8
18,6849,,6,19,160,720,8,161,1640,1648,2360,12
19,7616,,6,20,200,796,5,201,1644,1649,2440,16
,,,6,21,240,836,6,241,1644,1650,2480,20
,,,7,22,40,272,2,41,2482,2484,2754,0
,,,7,23,80,518,5,81,2482,2487,3000,4
,,,7,24,120,716,4,121,2484,2488,3200,8
,,,7,25,160,880,9,161,2484,2493,3364,12
,,,7,26,200,996,6,201,2488,2494,3484,16
,,,7,27,240,1076,7,241,2488,2495,3564,20
,,,7,28,280,1117,14,281,2488,2502,3605,24
,,,8,29,40,311,2,41,3607,3609,3918,0
,,,8,30,80,598,5,81,3607,3612,4205,4
,,,8,31,120,836,4,121,3609,3613,4445,8
,,,8,32,160,1036,5,161,3609,3614,4645,12
,,,8,33,200,1200,11,201,3609,3620,4809,16
,,,8,34,240,1316,7,241,3614,3621,4930,20
,,,8,35,280,1396,8,281,3614,3622,5010,24
,,,8,36,320,1437,16,321,3614,3630,5051,28
,,,9,37,40,347,2,41,5053,5055,5400,0
,,,9,38,80,675,5,81,5053,5058,5728,4
,,,9,39,120,953,4,121,5055,5059,6008,8
,,,9,40,160,1193,5,161,5055,5060,6248,12
,,,9,41,200,1398,11,201,5055,5066,6453,16
,,,9,42,240,1553,7,241,5060,5067,6613,20
,,,9,43,280,1676,14,281,5060,5074,6736,24
,,,9,44,320,1749,8,321,5067,5075,6816,28
,,,9,45,360,1789,9,361,5067,5076,6856,32
,,,10,46,40,392,3,41,6858,6861,7250,0
,,,10,47,80,751,3,81,6859,6862,7610,4
,,,10,48,120,1071,4,121,6859,6863,7930,8
,,,10,49,160,1358,9,161,6859,6868,8217,12
,,,10,50,200,1594,6,201,6863,6869,8457,16
,,,10,51,240,1794,7,241,6863,6870,8657,20
